name,website,category,location,y,x,fecha,info,employees,tech,companies_partner,problem_to_solve,value_ideal_customer,status,year_,cat
Swift Navigation,https://www.swiftnav.com/,"Location Data Analytics, Location Intelligence, Navigation, Drones, Centimeter-Accurate GNSS Sensors for Autonomous Vehicles","San Francisco, California, USA",37.77118,-122.40345,January 2012,"Swift Navigation, Inc. was founded in 2012 to make GPS positioning technology more accurate and affordable. Today Swift Navigation has gained a reputation for defining a new category of GNSS systems as the industry’s first low-cost, high accuracy real-time kinematics (RTK) receiver. Its GPS and GNSS positioning products are available at a fraction of the price of the competition and deliver 100 times better accuracy than the GPS in a cell phone. Swift Navigation’s technology benefits a multitude of industries and applications—including autonomous vehicles, unmanned aerial vehicles (UAVs), precision agriculture, robotics, surveying and space. Swift Navigation is enabling a world where fields farm themselves, drones fly safely and autonomous transportation can safely take you home. Swift Navigation provides an end-to-end GNSS solution with a line of Piksi® Multi and Duro® receivers, Starling™ Positioning Engine and Skylark™ Cloud Corrections Service.",80 to 100,"Slack, Python, Linux, AWS, Google Cloud Services, Matlab and more.","Carnegie Robotics, STMicroelectronics, Broadcom and over 2,500 customers using Swift devices, software and cloud corrections network.
","Swift is able to deliver Real Time Kinematics (RTK) GPS that is 100 times more accurate than GPS found in a typical smartphone, at a fraction of the cost of the competition. Traditional GPS technology is only accurate to approximately 10 feet. That’s good enough for personal navigation, but doesn’t come close to helping autonomous vehicles safely navigate the world. With Swift Navigation’s low-cost, centimeter-accurate GNSS, a car knows what lane it’s in, a tractor knows what row it’s in, and a drone can drop a package on your doorstep. 

Comparable precision-GPS systems cost $7,000 to $10,000, which is not feasible in scale for a sensor in an autonomous car, drone, tractor or robotic system. Swift’s Piksi Multi, by contrast, retails for $595 with comparable centimeter-level accuracy to competitive products, providing far more accessible solutions for a wide variety of industries. Swift is known as the disruptive brand in the GPS industry as Swift works to lower technology costs and make GNSS more accessible, reliable and accurate for today’s emerging applications.","Swift Navigation’s technologies are an ideal fit to help shape the way that the world travels, works and innovates in the fields of transportation, surveying, robotics and agriculture, to name just a few of the exciting applications. 

Anyone who needs centimeter-accurate localization at a reasonable price fits Swift’s ideal customer profile, but one particularly apt application of Swift’s technology can be observed with Voyage, a company working to create safer, more comfortable and more affordable transportation options—powered by autonomous driving technology—for communities all across North America. Voyage enables its community members to summon on-demand self-driving taxis and move effortlessly from one destination to the next.",Series B,2012,"location data analytics,location intelligence,navigation,drones,centimeter-accurate gnss sensors for autonomous vehicles"
NavVis,https://www.navvis.com,"Mapping, GIS, Computer Vision, Augmented Reality, 3D visualization","Munich, Germany",48.148003,11.550334,May 2013,"NavVis is a leading provider of spatial intelligence technology for large commercial and industrial properties. Our cutting edge indoor mapping, visualization and navigation technology is being applied in every industry that uses, manages or builds indoor space. Digital building technology is benefiting everything from construction monitoring, facility management, and manufacturing, to transportation hubs and multi-channel retailing.",150 to 175,"From computer vision, image processing, and 3D mapping to sensor fusion & real-time positioning to state-of-the-art web development tech like Java, Spring, AngularJS, WebGL and PostgreSQL. Many of our teams use Scrum-based work flows and/or incorporate Design-Thinking to achieve great things together.",-,GPS and digital maps have revolutionized the world outside our doorstep. Every imaginable outdoor industry has benefited from this transformative technology. But the digital revolution has yet to benefit the place where we spend more than 90% of our time – the indoors. NavVis wants to bring the same technology that has benefitted the outdoors to indoor spaces.,"Many of our customers have been using static laser scanners and have added the NavVis M6 indoor mobile mapping system to their toolkit to use mobile scanning to take on more of the work that was traditionally performed by static scanners. This means they can scan faster and take on much larger projects and deliver the results in a much shorter timeframe than previously. Our IMMS also captures images, which means that laser scanning professionals can now offer their customers a new deliverable as 360° immersive walkthroughs, which makes scan data much easier to use than most point cloud software.",Series C,2013,"mapping,gis,computer vision,augmented reality,3d visualization"
Navmii,http://www.navmii.com,"Location Data Analytics, Location Intelligence, Navigation, Mapping, GIS, Computer Vision, Augmented Reality, Urban Planning","London, UK",51.493731,-0.280715,October 2017,"Navmii excels in Navigation and Mapping and can offer a complete solution. Our products and solutions power many fleet, car and consumer applications across the globe. We are experts in OSM and have a professional grade solution - eOSM.",10 to 20,-,"Inrix, Here","We are trying to make eOSM a global alternative to traditional offerings from Here and TomTom. eOSM uses OSM as its foundation and builds many layers on top, from probe data to free data sources and soon from image recognition to improve OSM to be navigable and reliable. We have achieved this for many regions and are working with customers to improve others.",Navmii works with Tier one's for in-car navigation and powers some of the largest navigation applications. Navmii is able to fully customise the interface for clients to give a truly bespoke solution.,Not Available,2017,"location data analytics,location intelligence,navigation,mapping,gis,computer vision,augmented reality,urban planning"
Maptionnaire,https://maptionnaire.com/,"Mapping, GIS, Location Intelligence","Helsinki, Finland",60.172553,24.956943,April 2011,Create map-based surveys to get ideas and insights from residents,5 to 10 ,-,-,-,-,Self-Funded,2011,"mapping,gis,location intelligence"
TopCon,https://www.topconpositioning.com/,"Surveying, Mapping, GIS","Livermore, California, USA",37.703425,-121.70213799999999,September 1932,"Precise + Connected = More Productive. From concept to completion, geospatial solutions from Topcon provide secure connectivity with intuitive software and precision measurement hardware for management, office staff and the mobile workforce.",1001 to 5000,-,-,-,-,IPO,1932,"surveying,mapping,gis"
Descifra,https://descifra.global,"Location Data Analytics, Location Intelligence","Mexico City, Mexico",19.357172,-99.184064,November 2011,"Founded in 2012, DESCIFRA has revolutionized the way
geospatial intelligence is applied, providing people, businesses and governments with technological solutions to predict outcomes from any location. Our nature is to continuously develop technology solutions to keep empowering our allies to manage through predictive analytics their decisions and strategies based on the potential of the “where”.
We use a six-step approach to deliver the best solutions to our clients through our proprietary models and indicators- understand client’s needs - cross-match data sets- metrics and indicators- run proprietary models- user interface and platforms- answer client’s questions.
Our customized platforms in conjunction with the results of our predictive models allow our clients to answer all their location-based questions in a quick and easy way.",20 to 30,"PostGIS, R, Python and mostly open-source frameworks","SinTráfico, FUNDES, Telefonica Mexico, Colliers and Carto","We work on creating data products that scale to solve and create the geographical and market expansion challenges that individuals, companies and governments face. Our products are defined by the use of geodata, the and incorporation of predictive modelling, and the delivery of the information using maps through platforms.","A case that has been persistent in our experience doing Location Intelligence are management disputes. Some time ago we were approached by the directors of a fancy gym. One of the managers claimed that they should place Billboards in ANOTHER CITY than that where the gym was located, while the other said that was absolutely illogical. We use the collected GPS and mobile data, sources regularly used, from the visitors of the gym and mapped their routes. What we found is that over 40% the customers actually lived in another city. These were directors of industrial companies that found the gym to be in a very convenient distance from their work, even though they didn't live there.

Our ideal customer is anyone that wants to answer questions using geodata.","Self-Funded, Funded by an accelerator program",2011,"location data analytics,location intelligence"
Navisens,navisens.com,"Navigation, Mapping, GIS, Internet Of Things","San Francisco, California, USA",37.78761,-122.39668600000002,August 2013,"Motion mapping without the need for WiFi Access Points, Bluetooth Beacons, or GPS",5 to 10,-,-,"We provide a location SDK and our goal is for all developers to use our location SDK instead of Google or Apple’s APIs. Our location technology is much more accurate and it doesn’t require you to install infrastructure or collect data in the building like many other location companies.

We refer to our location technology as ""next generation location"". Existing location technologies like GPS are not designed to work in urban areas which is primarily where we use our mobile devices. Location technologies like WiFi APs and beacons were originally designed as communication technologies, so they perform poorly as location technologies and they require a lot of infrastructure. Instead, Navisens uses the motion sensors (accelerometers and gyroscopes) built into devices. Navisens is based on PhD research with a focus on tracking firefighters, which explains why our technology is so different to other location companies. Read more here: https://medium.com/@navisens/why-i-founded-navisens-5f42d5d0fb30","Our ideal customers are developers. We only recently made our SDK public. Prior to that we focused on larger customers and we have many enterprise customers using our location technology in many different applications. Guiding shoppers to stores inside a shopping mall. Navigating workers to meeting rooms and locations on large campuses. Making workers more efficient and safer inside industrial sites like power plants.

The biggest value that we add is that simply by integrating our SDK a customer gets an instant improvement in location without having to install any hardware and without having to collect data or fingerprint their properties.",Series Seed,2013,"navigation,mapping,gis,internet of things"
Bentley,https://www.bentley.com/en,"Infrastructure, Engineering Software","Exton, Pennsylvania, USA",40.065558,-75.687749,1984,"Bentley Systems is the leading global provider of software solutions to 
engineers, architects, geospatial professionals, constructors, and 
owner-operators for the design, construction, and operations of 
infrastructure. Bentley Systems employs more than 3,500 colleagues, 
generates annual revenues of $700 million in 170 countries, and has 
invested more than $1 billion in research, development, and acquisitions
 since 2012.",1001 - 5000,-,-,-,-,Not Available,1984,"infrastructure,engineering software"
Orbica Ltd,https://orbica.world/,"Location Data Analytics, Location Intelligence, Mapping, GIS, Computer Vision, Augmented Reality","Christchurch, New Zealand",-43.534339,172.640552,February 2017,"A) Orbica is a progressive location data solution provider. We use maps, graphics, infographics, 3D worlds, artificial intelligence (AI), satellites and interactive web/mobile tools to magic clients’ data into engaging storytelling. At the heart of Orbican culture is a love of geography, unchartered territories and problem solving. We disrupt the geographic information systems (GIS) sector by exploring emerging technologies and open-source platforms to deliver fresh solutions.",20 to 25,-,We are currently partnered with NVIDIA and Microsoft programmes,"Organisations today have more data at their fingertips than ever before. Extracting useful information from that data, however, can be challenging. That's where Orbica comes in. Our purpose is to help people extract value from their geospatial data so that they can gain insights, tell their story and make better, more informed decisions. We think outside the quadrilateral to create solutions and products that merge the best of available technologies to solve our clients' problems. We're pioneering GeoAI: the extraction and classification of features of the Earth's surface through automation (artificial intelligence and geoprocessing). We're productising a data visualisation platform that merges business intelligence with geospatial capabilities, developed solely using open source technology.
Value proposition: Orbica unlocks the value of location data to create effective business solutions and products. You’ll develop new insights that improve and accelerate your decision making, increase performance, reduce risks and costs, enhance your customer’s experience and generate revenue.","Orbica’s clients are central, local and regional government bodies and organisations/enterprises with data issues that needs resolved. 
A great example is German industrial giant Thyssenkrupp. Orbica has worked with Thyssenkrupp to develop a solution to outdated build progress reporting methods. Our solution compiles drone imagery into a 3D point cloud model, then uses artificial intelligence deep learning algorithms and geoprocessing to automate the extraction and classification of built features. 
Our ideal customer is anyone who wants to explore the geospatial world we live in, create new and unique solutions and gain value and insight through the power of location data.",Self-Funded,2017,"location data analytics,location intelligence,mapping,gis,computer vision,augmented reality"
Beeline,beeline.co,"Navigation, Apps","London, UK",51.494242,-0.061452,April 2015,"Beautifully designed, wonderfully intuitive connected navigation hardware for those who want to enjoy the journey, not just get to the destination",5 to 10,"Google Maps, AWS, Firebase, facebook, BLE",-,"Helping people to navigate on two wheels (bikes & motorcycles). By using existing mapping and routing to drive our navigation hardware and interface and in future by building our own, two-wheel-friendly routing algorithms","A cyclist who used to find cycling frustrating, or even wouldn't cycle due to the frustration of getting lost and is now able to find their bay on a bike effortlessly and safely. ","Self-Funded, Funded by an accelerator program, Angel investors",2015,"navigation,apps"
City78,http://city78.org,"Mapping, GIS, Urban Planning","Washington D.C, USA",38.897857,-77.03284599999998,June 2017,"City78 develops data-driven, human-centric solutions for city governments, companies and community leaders. We bring community-generated data, from Google and other review platforms, together with urban planning analyses to develop nuanced understandings of neighborhoods and cities. By directly including the community as co-creators of the city, we are able to shift away from the current paradigm of prescriptive urban solutions and instead build ethical, sustainable cities around solutions derived from understanding communities, their histories, needs, perceptions and use of space.",5 to 10,"ArcGIS, Space Syntax, City78's Perception Surveying Tool (Natural Language Processing (NLP))",Paradigm,"City78 reduces economic and social inefficiencies due to urban spread and lack of participatory planning avenues available to residents. It has been established that the 20th century urban planning practices which championed segregation of uses are largely responsible for a majority of the urban problems faced today (sprawl, greenhouse gas emissions, traffic congestion). However, it is not enough to simply prescribe mixing previously-segregated uses as a solution. Instead, rather that fit people into space, we aim to create spaces that fit the lifestyles people lead, thereby creating and nurturing the organic growth of urban spaces.This approach presents a model for defining and refining urban problems with solutions created by the users of space, thereby creating a two way interaction between the built environment and people who use it. 

Since our approach in querying communities for their wants, needs, and perceptions is novel in the field of urban planning, our team is working hard to not only continue securing city government and real estate development clients but also expand into the NGO and academic fields. Our solutions are informed by a mix of GIS-focused analysis and City78's custom surveying tool, which queries Google, 311 call data, and other community generated data sources and analyses registered reviews, calls, and comments using Natural Language Processing tools (NLP). This tool, which allows us to map out and cluster community perception and use of space at an unprecedented level, differentiates us from our competition and lets us query the community directly, rather than past survey methods.","City78 assisted an NGO which was looking to build a 10-15 acre community center in the greater Washington DC metro area. They had already conducted demographic and real estate assessments and one of their senior members was a chief urban planner in Maryland. The NGO wanted to know the economic sustainability and growth potential of the neighborhoods they had previously scoped ou, and based on this analysis, select potential parcels for purchase. 

At the heart of City78's report were the findings from our perception surveying tool. By querying and analyzing Google reviews and other community-driven data, we were able to map perceptions on topics like walkability, parking, public transportation, commercial offerings, atmosphere, historic and scenic ""feel"", favorite locations and repeat visits. We were also able to cater our surveying tool more specifically to our client's target population, and tracked the types of stores and spaces where reviews were written in Chinese as well as other foreign languages, as well as the rate at which reviews in each language were being registered in each neighborhood. By incorporating these findings with zoning, demographic projection, and other municipal data, we were able to select four potential parcels which met the NGO's needs for purchase.

Our project with the Chinese community center NGO highlights some of the ways our perception surveying tool can be leveraged to generate findings that would be extremely costly otherwise to gather through conventional survey techniques. While our ideal customer are development organizations abroad, in countries with poor government data but whose citizens actively use review platforms and other community- data registration platforms, our team was proud of its ability to deliver in this project based upon nuanced analyses.",Self-Funded,2017,"mapping,gis,urban planning"
Geo-Q Technologies,http://geo-map.co.za,"Location Data Analytics, Location Intelligence, Location-based Marketing, Mapping, GIS","Johannesburg, South Africa",-26.14529,28.034959000000004,October 2008,"Geo-Map is the flagship product of Geo-Q Technologies a geospatial technology company founded in 2008. Geo-Q is a changing the way organizations are storing, viewing and interacting with their information. Geo-Q’s clients range from innovative NGO’s to blue chip multinationals.
80% of all information has location; this information is stored in spreadsheets, word and pdf reports, digital pictures and multimedia videos. We all know location is key to decision making! Our Geo-Map platform lets you take business data from excel spreadsheets, databases and CRM and transforms it into eye-catching, informative and game-changing visualization for insight and decision-making. Geo-Map allows a business to improve efficiencies and increase productivity",5 to 10,"Geo-Map is a open source software built on PostGIS and PostgreSQL. The tool uses JavaScript extensively in the front end web application, back end Node.js based APIs, and for client libraries",-,"Our mission is to unlock the power of Location based data to improve efficiencies, save money, increase productivity and sales and allow for decision making. We have a broad range of clients, medical insurance, FMCG, NGO's etc.","Medical insurance company needs to increase members of the medical scheme, manage service providers, manage network of doctors, specialists etc, track payments, identify fraud etc. Our Geo-Map platform allows this to be managed in one system so multiple users can access different functions to grow and manage the medical insurance businesses

Ideal client is a client with location data that needs to be mapped",Self-Funded,2008,"location data analytics,location intelligence,location-based marketing,mapping,gis"
Soar (Australia) Pty Ltd,https://soar.earth/index.html,"Location Data Analytics, Location Intelligence, Drones, Mapping, GIS, Blockchain, Decentralization","Perth, Australia",-31.955196,115.93153000000001,November 2017,"Soar is a decentralised global super-map of the world built on blockchain
technology. The super-map will include access to all mapping systems including daily satellite imagery feeds, through to high resolution aerial sensors from planes and drone content collected by the greater community. All connected using blockchain technology to connect and share dynamic mapping data.
Finally, Soar will create the world’s first mapping ‘app store’ which will
encourage experts to upload specific image analysis algorithms to help further
process data relating to niche applications such as farming, mining, urban
planning, security and even media and news.",10 to 20,-,-,"We are working a platform that incorporates all kinds of drone, aerial and satellite imagery. Approximately 80% of all satellite, aerial and drone imagery is single use, there is a lack of a drone imagery marketplace in which we are addressing. Also just general consumers and business that require any kind of geo information for whatever commercial or personal need will be able to find and purchase it on Soar.","The Soar super-map will serve as the foundation base for a vast range of applications in varying industries ranging from agriculture, mining, environment, logistics, urban planning, travel and security through to news and
media. Imagine a world map that can allow you to see how a location changes over time or the ability to pick and choose what types of imagery you want to see over it depending on your specific requirements
Example (drone user); A drone pilot can take imagery over certain areas, such as Sydney for example, and put it on the platform. This imagery is then available for users and business who require aerial imagery over Sydney for commercial use and application.",Angel investors,2017,"location data analytics,location intelligence,drones,mapping,gis,blockchain,decentralization"
iGeolise,igeolise.com,"Location Data Analytics, Location Intelligence, Mapping, GIS","London, UK",51.530398,-0.101101,July 2009,Travel and mapping software that makes location decisions easy,10 to 20,"Oracle Cloud, 3scale, scala, Akka Play Framework",-,"A lightening-fast API that makes location data searchable by travel time rather than distance. The API enables websites and apps to list points of interest by real journey times rather than listing results using ‘as the crow flies’ distance. For example a house hunter can discover which homes would be within a 30 minute commute from their office if placed on a property search website. The travel time data can be used for store finders, office relocation analysis and job search pages.","Zoopla, one of the UK’s largest property search websites, use TravelTime to power their property search. Instead of users entering a location to find a property, they have reversed how the user searches. The users can now enter a location they frequently travel to (such as a school, office or family member’s house), their preferred mode of transport, and maximum commute time. Users can browse a list of homes and the commute time to each. The site reported that 3x the volume of users convert when searching by time. This means 300% more users requested details of the property or booked a viewing.","Self-Funded, Angel investors",2009,"location data analytics,location intelligence,mapping,gis"
RemOT Technologies,https://www.remot-technologies.com,"Location Data Analytics, Location Intelligence, Navigation, Remote Sensing, Photogrammetry, Mapping, GIS, Internet Of Things","Zaragoza, Spain",41.6861,-0.887142,October 2016,RemOT Technologies is a company that offers intelligent solutions for the analysis of land through the use of space technologies and GIS to provide our customers with the power of geolocated data for faster decision making,1 to 5,"Azure, Libelium's IoT devices, Python, Php, JavaScript, QGIS",-,"At this moment we have developed a system, Agrimes, that is able to predict grapes quality months before the harvesting by using location data combined with IoT Technology",Our ideal customers are wineries that are trying to reach the higher level of quality producing wine,"Self-Funded, Funded by an accelerator program",2016,"location data analytics,location intelligence,navigation,remote sensing,photogrammetry,mapping,gis,internet of things"
Echosec,https://www.echosec.net,"Location Data Analytics, Location Intelligence, Location-based Marketing, Mapping, GIS","Victoria, British Columbia, Canada",48.424412,-123.36090800000001,June 2013,"Echosec is a location-based discovery platform. Aggregating and mapping data from over fifteen sources including social media, blogs, news sources, and the Dark Web, Echosec shows users what's happening anywhere in the world in real time. Image and keyword detection means users get notified when specific content is posted. It's GIS meets social media data, and it's a force to be reckoned with.",10 to 20,"ESRI, AWS","ESRI, GBG, NextIT (Japan) Radiosphere (Germany) And our network providers -Twitter, Reddit, Youtube, Foursquare and more. ","Protecting people, places, and things with real time intelligence. Echosec draws data from hundreds of open online sources and makes it discoverable for the end user. Customers range from large retail organizations, to security companies and financial institutions.","One of our biggest success stories was from a security team in charge of an athlete in the Rio Olympics. Echosec detected a gun in the area where the athlete was travelling, and the executive protection team were able to re-route the VIP safely.",Angel investors,2013,"location data analytics,location intelligence,location-based marketing,mapping,gis"
Mapanything,http://mapanything.com,"Location Data Analytics, Location Intelligence, Navigation, Location-based Marketing, Computer Vision, Augmented Reality, Internet Of Things, Urban Planning, Human Geography","Charlotte, North Carolina, USA",35.169295,-80.887062,September 2009,"MapAnything is a Location-of-Things platform that uses ""Where"" inside business processes to drive productivity. 
",150 to 160,"Much of the Arc suite, Qgis, Postgres, Google earth, Google maps, leaflet and tons of data and .shp providers. ","ESRI, HERE, Google, Pitney Bowes and several IOT device vendors","We focus on mapcentric data visualization and analytics, asset tracking and route optimization.",We are constantly helping field sales teams travel more efficiently. Our IOT products have helped recover stolen and lost assets. There are few business that we can't help. ,Series B,2009,"location data analytics,location intelligence,navigation,location-based marketing,computer vision,augmented reality,internet of things,urban planning,human geography"
Geolytix,https://geolytix.co.uk,"Location Data Analytics, Location Intelligence, Mapping, GIS","London, UK",51.527429999999995,-0.115245,January 2012,"Geolytix are experts in providing data and services for location, demographic, customer and market analysis for retailers in the UK, Europe, Asia Pacific and America. 

We are a growing team of data scientists/analysts, developers and modellers headquartered in the UK, with offices in London, Leeds, Shanghai and Tokyo

Since the day we came into being, we've used geospatial data, GIS and spatial modelling to tell our customers where to go; how many stores they should have, who to acquire, where to open and how to optimise home delivery and click & collect operations.

Ultimately as investing in stores and online is expensive, we help retailers spend their money wisely.",20 to 30,"QGIS, ESRI & Pitney Bowes GIS","ESRI, Pitney Bowes, Ordnance Survey","Our expertise is in solving problems where location matters, particularly location decision support and retail store network strategy. We use spatial modelling to help retailers understand where their customers live and how they interact with their stores","Our ideal clients are retailers with location based challenges, typically those who are looking to open new stores and require analysis to assist them where to open these and crucially how much revenue they will generate.",Self-Funded,2012,"location data analytics,location intelligence,mapping,gis"
